ResponseName,RecommendationCount,IsFree,ScreenshotCount,PlatformWindows,PlatformMac,PlatformLinux,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer
Sam & Max 104: Abe Lincoln Must Die!,253,False,6,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 105: Reality 2.0,0,False,5,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 106: Bright Side of the Moon,0,False,6,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 201: Ice Station Santa,0,False,5,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sam & Max 202: Moai Better Blues,0,False,8,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sam & Max 203: Night of the Raving Dead,0,False,8,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sam & Max 204: Chariots of the Dogs,0,False,5,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sam & Max 205: What’s New Beelzebub?,0,False,10,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bone: Out From Boneville,0,True,11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bone: The Great Cow Race,0,True,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Telltale Texas Hold Em,0,False,8,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Strong Bads Cool Game for Attractive People: Season 1,175,False,10,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Strong Bads Cool Game for Attractive People: Episode 2,0,False,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Strong Bads Cool Game for Attractive People: Episode 3,0,False,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Strong Bads Cool Game for Attractive People: Episode 4,0,False,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Strong Bads Cool Game for Attractive People: Episode 5,0,False,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Geometry Wars: Retro Evolved,507,False,22,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
EVE Online,4269,False,22,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
RACE 07,1637,False,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
RACE On,0,False,33,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
